street_address,price,beds,baths,sqft,price/sqft,prop type,county,community,built,parking,air conditioning,kitchen,dishwasher,laundry,heating,elevator
291 Summer St,209900,5,1,"1,480",$142 / Sq. Ft.,Single Family Detached,Worcester,Barre,1900,,,True,,,,
91 Cut Off Rd,599000,5,3.5,"5,288",$113 / Sq. Ft.,Single Family Detached,Worcester,Barre,1998,,,True,,,True,
0 Grogan Rd L:3,34899,—,—,—,Sq. Ft.,Residential,Worcester,Barre,,,,,,,,
316 S Barre Rd,119000,4,1,"1,506",$79 / Sq. Ft.,Single Family Detached,Worcester,Barre,1947,,,,,,,
57 Butterworth Rd,269900,3,2,"2,102",$128 / Sq. Ft.,Single Family Detached,Worcester,Barre,2002,,,True,,True,True,
1090 Wauwinet Rd,165000,2,1,864,$191 / Sq. Ft.,Single Family Detached,Worcester,Barre,1980,,,,,,,
440 Worcester Rd,205000,3,2,"2,400",$85 / Sq. Ft.,Single Family Detached,Worcester,Barre,1952,,,True,,True,,
406 South St,98000,3,1,"1,460",$67 / Sq. Ft.,Single Family Detached,Worcester,Barre,1964,,,,,,,
396 Wheelwright Rd,217500,2,1.5,"1,324",$164 / Sq. Ft.,Single Family Detached,Worcester,Barre,1970,,,True,,True,,
673 Old Petersham Rd,194500,3,1.5,"1,365",$142 / Sq. Ft.,Single Family Detached,Worcester,Barre,1998,,,True,,,True,
220-222 Peach St,159000,6,2,"2,268",$70 / Sq. Ft.,2 Units Side-by-Side,Worcester,Barre,1926,,,,,,,
65 GAUTHIER Rd,85900,3,2,"1,200",$72 / Sq. Ft.,,Worcester,WATERWHEEL VILLAGE,2007,,,True,,True,,
42 Nelson Way,269000,3,2,"1,370",$196 / Sq. Ft.,Single Family Detached,Worcester,Barre,2017,,,True,,,,
7 Nelson Way,359900,5,3,"3,982",$90 / Sq. Ft.,Single Family Detached,Worcester,Barre,2005,,,True,,,True,
24 Wheelwright Rd,45100,2,1,588,$77 / Sq. Ft.,Single Family Detached,Worcester,Barre,1900,,,,,,,
531 Summer St,250000,1,2.5,"3,200",$78 / Sq. Ft.,4 Family,Worcester,Barre,1900,,,,,,,
136 South St,225000,5,3,"3,648",$62 / Sq. Ft.,2 Family,Worcester,Barre,1862,,,True,,,,
36 James St,225000,5,2,"3,048",$74 / Sq. Ft.,2 Units Up/Down,Worcester,Barre,1839,,,,,True,,
